distance_km,nb_commandes,temps_reel_minutes,cout_reel_dt
41.04,7,157,66.34
59.9,3,122,75.51
65.81,3,115,79.08
68.79,6,191,96.69
105.05,8,291,147.67
81.27,7,237,116.57
68.51,7,169,92.13
74.6,4,178,99.11
82.4,7,228,115.68
147.54,3,213,168.02
96.74,4,202,122.76
82.82,7,202,111.0
108.64,3,228,138.05
30.0,5,109,47.45
63.04,3,142,82.14
97.67,5,178,118.62
79.98,8,221,112.32
63.98,6,163,87.1
84.79,7,256,123.34
148.17,4,272,180.49
71.73,5,205,102.04
112.54,6,289,153.53
86.59,3,149,103.58
61.79,7,232,99.06
99.86,5,231,131.24
71.45,4,184,97.69
100.97,7,219,129.82
78.79,3,157,98.37
70.13,6,162,92.09
75.23,4,166,97.28
68.24,6,206,99.35
73.84,5,162,95.25
89.85,3,170,110.47
73.0,4,194,100.98
88.2,6,226,120.22
124.14,4,181,141.86
83.36,4,206,112.12
54.25,7,194,85.06
80.56,4,184,105.34
95.77,7,251,131.71
91.08,3,163,110.03
114.09,4,184,133.95
61.77,3,142,80.93
147.89,6,270,179.74
43.59,7,150,67.16
75.74,7,177,99.96
85.58,6,240,120.79
125.95,6,250,157.22
122.53,3,187,141.74
107.27,5,254,142.04
42.06,7,142,64.32
146.81,5,306,186.09
72.6,8,267,115.21
69.48,6,216,102.35
95.92,8,275,136.57
79.48,6,172,102.11
85.67,3,146,102.14
80.52,4,196,107.68
66.7,4,165,89.85
119.98,8,303,162.76
108.12,3,214,134.8
107.38,8,284,148.17
100.88,5,247,135.31
80.05,5,151,98.34
117.93,8,233,146.88
68.71,7,211,100.65
72.9,8,207,103.54
100.47,5,179,121.32
113.23,5,219,140.14
85.95,4,168,106.72
88.0,8,200,114.96
112.28,4,231,141.71
82.23,6,231,116.16
162.62,5,303,198.99
93.69,7,232,126.14
117.92,4,255,151.37
95.98,7,219,125.46
119.42,5,261,153.85
104.43,8,232,135.19
84.36,8,205,112.86
114.32,8,280,153.25
56.11,5,144,76.57
92.98,5,213,121.66
73.31,7,186,99.69
93.66,4,154,110.6
32.62,8,151,58.08
91.35,5,230,123.73
52.59,5,167,78.23
47.19,7,200,80.11
112.37,8,240,143.64
80.97,4,195,107.99
54.07,7,212,88.43
100.73,3,191,123.95
72.98,5,153,92.68
30.0,4,124,50.45
88.7,6,210,117.48
43.14,8,179,72.54
100.32,4,179,121.27
58.66,7,195,89.05
98.68,4,178,119.53
62.07,4,159,84.75
73.78,3,159,94.67
86.69,5,235,120.88
105.98,8,301,150.45
130.38,8,294,169.71
78.45,5,209,108.61
72.31,8,261,113.67
104.75,3,162,121.55
75.21,3,141,92.2
114.29,5,222,141.7
135.71,3,231,161.58
86.04,8,265,126.14
79.19,3,152,97.84
30.0,7,166,58.71
142.27,7,294,179.83
143.22,8,357,193.21
103.13,5,174,122.63
78.68,5,172,101.45
94.8,7,218,124.3
42.68,6,172,70.68
82.54,6,206,111.55
122.86,3,256,155.71
104.33,8,242,137.23
87.63,3,165,107.51
51.65,6,155,75.08
73.46,7,232,109.0
113.81,8,327,162.15
67.45,4,134,84.29
68.43,4,176,93.45
103.68,4,227,133.67
67.48,4,177,92.78
78.88,7,197,106.58
56.81,4,140,76.31
71.31,5,184,97.49
61.56,4,136,79.52
101.67,4,191,124.79
46.26,3,124,64.15
99.22,7,200,124.37
125.71,3,220,151.0
49.07,6,165,74.84
54.44,6,184,83.17
110.78,4,220,138.17
87.71,4,173,109.28
126.81,8,283,164.5
95.48,4,216,124.5
60.23,4,123,75.91
100.74,6,222,130.17
71.65,8,278,116.62
49.82,6,151,72.74
79.09,3,160,99.24
75.09,6,203,104.48
58.24,4,134,76.42
62.76,3,132,79.8
57.42,6,191,87.16
31.18,8,181,62.8
75.38,3,132,90.53
96.6,5,224,126.92
67.42,6,206,98.52
95.85,5,187,119.03
85.7,4,192,111.41
84.77,8,229,118.02
72.09,5,165,94.29
108.29,7,222,136.53
45.47,7,187,76.05
85.9,6,197,112.61
61.52,8,166,85.5
81.4,4,176,104.5
67.78,5,190,95.64
83.43,3,150,101.01
65.76,6,196,95.16
70.99,3,125,85.47
97.27,8,244,131.48
59.3,6,173,85.16
94.51,8,294,139.14
30.65,8,196,65.35
79.18,8,221,111.6
58.84,4,128,75.81
108.38,7,312,154.61
72.66,7,173,96.55
105.4,7,275,144.59
52.3,4,120,68.65
103.31,5,206,129.17
54.04,8,204,86.79
96.63,4,184,119.04
89.17,4,207,117.23
99.7,4,188,122.45
97.72,3,177,118.62
55.22,6,175,82.09
86.57,7,195,112.76
112.33,5,198,135.18
99.38,7,235,131.62
58.08,7,208,91.12
40.53,4,94,53.37
100.18,4,200,125.15
117.78,6,272,154.59
96.4,8,291,140.19
139.13,6,273,173.04
121.39,6,216,146.49
129.98,3,248,160.18
58.88,6,163,82.82
35.84,6,127,55.96
90.26,7,223,121.37
80.89,3,143,97.39
53.97,8,233,92.62
100.14,6,190,123.16
64.29,6,148,84.28
107.73,7,263,144.34
84.67,6,229,117.88
98.41,7,270,137.67
89.07,3,176,111.05
63.59,4,157,85.63
98.48,6,193,122.44
93.54,4,196,118.82
103.98,5,192,126.78
99.6,7,251,134.87
90.77,6,231,123.41
90.91,4,207,118.7
100.86,8,316,149.01
96.88,6,220,126.46
68.06,4,148,87.53
101.79,7,200,126.56
74.6,3,152,93.89
55.48,8,213,89.78
103.36,8,269,141.81
60.17,5,153,81.78
64.55,8,238,102.53
84.92,4,197,111.59
30.0,6,122,49.98
105.02,3,155,120.37
